sale_id,product_code,product_description,qty_sold,sale_price,sale_total,sale_date,store_id,cashier,payment_method
S000183,SKU-00010,Webcam HD,7,199.53,1396.71,06/01/2024,STORE-10,EMP-290,Credit
S000184,SKU-00005,Standing Desk,7,723.56,5064.92,07/06/2025,STORE-05,EMP-378,Mobile
S000185,SKU-00008,Pen Set,4,214.78,859.12,10/31/2024,STORE-04,EMP-125,Mobile
S000186,SKU-00011,Keyboard BT,7,671.96,4703.72,10/31/2025,STORE-05,EMP-745,Cash
S000187,SKU-00002,Wireless Mouse,9,1081.19,9730.71,11/03/2024,STORE-08,EMP-918,Mobile
S000188,SKU-00010,Webcam HD,10,1234.54,12345.4,01/09/2025,STORE-04,EMP-452,Mobile
S000189,SKU-00002,Wireless Mouse,3,414.15,1242.45,02/24/2024,STORE-09,EMP-357,Mobile
S000190,SKU-00012,Desk Lamp,3,1318.33,3954.99,11/22/2025,STORE-06,EMP-490,Credit
S000191,SKU-00005,Standing Desk,8,191.85,1534.8,03/01/2024,STORE-04,EMP-752,Cash
S000192,SKU-00005,Standing Desk,4,687.14,2748.56,03/02/2024,STORE-05,EMP-834,Debit
S000193,SKU-00003,USB Hub,7,94.66,662.62,02/15/2025,STORE-01,EMP-996,Cash
S000194,SKU-00006,Monitor Arm,1,692.22,692.22,08/14/2025,STORE-08,EMP-444,Credit
S000195,SKU-00002,Wireless Mouse,8,762.11,6096.88,02/26/2025,STORE-07,EMP-605,Mobile
S000196,SKU-00009,Printer Paper,2,769.78,1539.56,07/23/2024,STORE-01,EMP-823,Cash
S000197,SKU-00012,Desk Lamp,7,755.95,5291.65,10/05/2024,STORE-03,EMP-990,Mobile
S000198,SKU-00004,Office Chair,4,658.4,2633.6,07/14/2025,STORE-10,EMP-196,Credit
S000199,SKU-00010,Webcam HD,7,548.92,3842.44,06/15/2024,STORE-08,EMP-248,Mobile
S000200,SKU-00002,Wireless Mouse,9,1185.12,10666.08,09/18/2024,STORE-02,EMP-841,Debit
S000201,SKU-00007,Notebook Pack,3,1211.95,3635.85,11/21/2025,STORE-04,EMP-621,Cash
S000202,SKU-00008,Pen Set,1,1175.91,1175.91,08/31/2025,STORE-05,EMP-516,Cash
S000203,SKU-00008,Pen Set,8,136.09,1088.72,02/20/2025,STORE-05,EMP-174,Cash
S000204,SKU-00007,Notebook Pack,1,387.09,387.09,11/08/2025,STORE-10,EMP-692,Cash
S000205,SKU-00011,Keyboard BT,4,646.67,2586.68,07/23/2024,STORE-03,EMP-250,Cash
S000206,SKU-00011,Keyboard BT,3,912.09,2736.27,09/07/2025,STORE-09,EMP-104,Cash
S000207,SKU-00005,Standing Desk,8,230.56,1844.48,02/13/2024,STORE-10,EMP-544,Mobile
S000208,SKU-00009,Printer Paper,7,584.05,4088.35,12/19/2024,STORE-02,EMP-738,Mobile
S000209,SKU-00008,Pen Set,7,1485.59,10399.13,01/26/2024,STORE-04,EMP-993,Credit
S000210,SKU-00010,Webcam HD,10,133.3,1333.0,08/25/2024,STORE-09,EMP-342,Mobile
S000211,SKU-00001,Laptop Pro 15,6,1335.11,8010.66,01/15/2024,STORE-09,EMP-740,Credit
S000212,SKU-00007,Notebook Pack,1,1357.86,1357.86,10/27/2024,STORE-07,EMP-955,Mobile
S000213,SKU-00006,Monitor Arm,2,128.89,257.78,10/13/2025,STORE-09,EMP-792,Credit
S000214,SKU-00001,Laptop Pro 15,4,242.99,971.96,06/22/2024,STORE-05,EMP-839,Cash
S000215,SKU-00001,Laptop Pro 15,5,1332.04,6660.2,04/04/2025,STORE-05,EMP-452,Debit
S000216,SKU-00007,Notebook Pack,-7,1166.32,8164.24,09/10/2024,STORE-10,EMP-980,Debit
S000217,SKU-00002,Wireless Mouse,10,1446.79,14467.9,05/23/2025,STORE-06,EMP-619,Debit
S000218,SKU-00003,USB Hub,8,663.86,5310.88,08/30/2025,STORE-05,EMP-949,Mobile
S000219,SKU-00003,USB Hub,8,1007.01,8056.08,02/23/2024,STORE-02,EMP-705,Credit
S000220,SKU-00007,Notebook Pack,8,535.75,4286.0,11/18/2024,STORE-08,EMP-954,Mobile
S000221,SKU-00008,Pen Set,2,1467.52,2935.04,12/06/2025,STORE-02,EMP-715,Credit
S000222,SKU-00008,Pen Set,1,1487.59,1487.59,04/11/2025,STORE-02,EMP-526,Debit
S000223,SKU-00002,Wireless Mouse,8,79.02,632.16,11/27/2025,STORE-08,EMP-504,Cash
S000224,SKU-00003,USB Hub,5,233.24,1166.2,04/15/2024,STORE-07,EMP-694,Debit
S000225,SKU-00012,Desk Lamp,9,392.05,3528.45,12/17/2024,STORE-05,EMP-266,Mobile
S000226,SKU-00005,Standing Desk,8,521.97,4175.76,07/26/2024,STORE-10,EMP-956,Mobile
S000227,SKU-00010,Webcam HD,3,992.96,2978.88,04/01/2024,STORE-05,EMP-630,Credit
S000228,SKU-00010,Webcam HD,3,302.31,906.93,05/09/2025,STORE-10,EMP-950,Credit
S000229,SKU-00010,Webcam HD,10,574.81,5748.1,02/24/2025,STORE-06,EMP-108,Mobile
S000230,SKU-00002,Wireless Mouse,2,606.02,1212.04,12/10/2024,STORE-09,EMP-508,Debit
S000231,SKU-00006,Monitor Arm,1,360.58,360.58,01/07/2025,STORE-06,EMP-665,Cash
S000232,SKU-00009,Printer Paper,1,1012.27,1012.27,12/02/2025,STORE-01,EMP-525,Mobile
S000233,SKU-00006,Monitor Arm,7,1273.92,8917.44,05/10/2025,STORE-08,EMP-774,Credit
S000234,SKU-00004,Office Chair,7,31.48,220.36,07/04/2025,STORE-05,EMP-850,Credit
S000235,SKU-00001,Laptop Pro 15,7,1464.29,10250.03,09/15/2025,STORE-10,EMP-339,Mobile
S000236,SKU-00004,Office Chair,7,879.66,6157.62,04/26/2024,STORE-01,EMP-717,Mobile
S000237,SKU-00008,Pen Set,3,1243.58,3730.74,03/07/2024,STORE-10,EMP-201,Mobile
S000238,SKU-00001,Laptop Pro 15,10,1328.62,13286.2,03/18/2025,STORE-06,EMP-193,Mobile
S000239,SKU-00001,Laptop Pro 15,5,1238.79,6193.95,07/07/2024,STORE-02,EMP-434,Credit
S000240,SKU-00011,Keyboard BT,1,35.49,35.49,07/31/2024,STORE-06,EMP-620,Mobile
S000241,SKU-00008,Pen Set,1,1350.12,1350.12,01/11/2024,STORE-01,EMP-776,Debit
S000242,SKU-00011,Keyboard BT,6,26.23,157.38,04/21/2024,STORE-09,EMP-561,Cash
S000243,SKU-00001,Laptop Pro 15,6,1395.96,8375.76,08/26/2025,STORE-10,EMP-884,Debit
S000244,SKU-00003,USB Hub,6,522.52,3135.12,09/28/2024,STORE-04,EMP-761,Credit
S000245,SKU-00003,USB Hub,4,265.32,1061.28,03/26/2024,STORE-03,EMP-793,Debit
S000246,SKU-00001,Laptop Pro 15,3,499.92,1499.76,11/04/2025,STORE-04,EMP-352,Cash
S000247,SKU-00011,Keyboard BT,2,362.13,724.26,05/23/2024,STORE-08,EMP-532,Cash
S000248,SKU-00011,Keyboard BT,-8,1422.0,11376.0,09/26/2024,STORE-05,EMP-608,Credit
S000249,SKU-00011,Keyboard BT,9,157.38,1416.42,02/01/2024,STORE-08,EMP-755,Cash
S000250,SKU-00009,Printer Paper,8,631.71,5053.68,01/24/2025,STORE-08,EMP-640,Debit
S000251,SKU-00004,Office Chair,5,958.71,4793.55,07/14/2024,STORE-04,EMP-459,Mobile
S000252,SKU-00004,Office Chair,8,63.89,511.12,03/12/2024,STORE-02,EMP-619,Cash
S000253,SKU-00012,Desk Lamp,7,1301.99,9113.93,07/28/2024,STORE-07,EMP-317,Mobile
S000254,SKU-00006,Monitor Arm,1,635.27,635.27,11/16/2024,STORE-01,EMP-325,Credit
S000255,SKU-00006,Monitor Arm,2,1348.03,2696.06,04/25/2024,STORE-07,EMP-341,Mobile
S000256,SKU-00005,Standing Desk,6,1022.25,6133.5,04/06/2025,STORE-04,EMP-522,Credit
S000257,SKU-00004,Office Chair,1,371.29,371.29,11/09/2025,STORE-03,EMP-926,Mobile
S000258,SKU-00001,Laptop Pro 15,3,663.53,1990.59,08/29/2024,STORE-03,EMP-231,Mobile
S000259,SKU-00010,Webcam HD,3,1414.79,4244.37,04/06/2025,STORE-03,EMP-751,Mobile
S000260,SKU-00003,USB Hub,10,457.13,4571.3,01/15/2024,STORE-01,EMP-701,Mobile
S000261,SKU-00002,Wireless Mouse,1,1169.5,1169.5,08/05/2025,STORE-04,EMP-719,Debit
S000262,SKU-00010,Webcam HD,10,622.23,6222.3,03/04/2025,STORE-08,EMP-974,Debit
